City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,60.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1,Camacha,PT,60.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
2,Mount Gambier,AU,54.97,light rain,-37.8333,140.7667,The Commodore
3,New Norfolk,AU,51.3,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
6,Airai,TL,67.75,scattered clouds,-8.9266,125.4092,
8,Olafsvik,IS,38.12,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
11,Port Elizabeth,ZA,61.32,clear sky,-33.918,25.5701,39 On Nile Guest House
12,Muros,ES,58.15,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
13,Bethel,US,53.91,moderate rain,41.3712,-73.414,Courtyard by Marriott Danbury
18,Kodiak,US,45.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
20,Bronnoysund,NO,41.0,broken clouds,65.4625,12.1997,Corner Hotel
21,Viedma,AR,58.48,broken clouds,-40.8135,-62.9967,Hotel Cristal
22,Ushuaia,AR,44.26,broken clouds,-54.8,-68.3,Albatross Hotel
23,Mataura,NZ,60.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
24,Olavarria,AR,62.02,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
25,Himare,AL,62.1,broken clouds,40.1017,19.7447,Hotel Dhima
27,Albany,US,56.44,overcast clouds,42.6001,-73.9662,
29,Chuy,UY,57.76,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
30,Norman Wells,CA,42.84,overcast clouds,65.282,-126.8329,Heritage Hotel
35,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
37,San Cristobal,VE,66.38,overcast clouds,7.7669,-72.225,Pirineos
41,Torbay,CA,36.28,overcast clouds,47.6666,-52.7314,Gallows Cove
42,Amazar,RU,49.46,few clouds,53.858,120.875,Гостиничный Комплекс Уют
44,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Port Alfred,ZA,63.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
47,Ouango,CF,71.22,overcast clouds,4.3133,22.5552,
49,Darlawn,IN,64.98,clear sky,24.0167,92.9,BNRGSK BUILDING
52,Jalu,LY,74.44,overcast clouds,29.0331,21.5482,صاحبة الفخامة
54,Ancud,CL,52.14,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
56,Ballina,AU,67.01,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
58,Yarke Pole,UA,48.0,overcast clouds,45.608,34.3172,
60,High Level,CA,42.91,moderate rain,58.5169,-117.136,Days Inn by Wyndham High Level
63,Kaitangata,NZ,61.61,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
64,Yellowknife,CA,52.32,broken clouds,62.456,-114.3525,The Explorer Hotel
65,Caazapa,PY,60.17,broken clouds,-26.15,-56.4,Cabaña San Miguel - 11 Estrellas
67,Pendleton,US,60.62,overcast clouds,45.6721,-118.7886,Americas Best Value Inn Pendleton
68,Mar Del Plata,AR,59.88,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
69,Ilhabela,BR,67.19,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
71,Busselton,AU,57.69,clear sky,-33.65,115.3333,Observatory Guest House
72,Punta Arenas,CL,44.71,light rain,-53.15,-70.9167,Hotel Hain
73,Severo-Kurilsk,RU,42.98,broken clouds,50.6789,156.125,Kak Doma
74,Cape Town,ZA,57.61,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
75,Mopipi,BW,66.7,clear sky,-21.1833,24.8833,
76,Gat,IL,60.4,clear sky,31.61,34.7642,OlusHome
78,Beloha,MG,71.04,few clouds,-25.1667,45.05,
79,Suda,RU,39.31,broken clouds,59.1525,37.5582,
81,Nikolayevsk-Na-Amure,RU,36.66,broken clouds,53.1406,140.73,Mini-hotel «Quiet Harbor»
82,Puerto Ayora,EC,73.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Zamora,EC,68.86,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
84,Yulara,AU,55.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
86,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
87,Saint-Laurent-Du-Var,FR,62.74,broken clouds,43.671,7.1761,Pierre et Vacances Heliotel Marine
88,Ishinomaki,JP,66.2,clear sky,38.4167,141.3,Ishinomaki Grand Hotel
89,Buraydah,SA,73.85,clear sky,26.326,43.975,Mövenpick Qassim
90,Cidreira,BR,62.51,broken clouds,-30.1811,-50.2056,Hotel Castelo
91,Constitucion,CL,54.99,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
92,Ponta Do Sol,PT,68.63,broken clouds,32.6667,-17.1,Hotel do Campo
94,Mobai,SL,74.25,scattered clouds,7.9944,-10.7511,
95,Hermanus,ZA,54.81,moderate rain,-34.4187,19.2345,Misty Waves Boutique Hotel
96,Pitimbu,BR,73.99,light rain,-7.4706,-34.8086,Reserva do Abiaí
97,Deep River,CA,48.67,clear sky,46.1001,-77.4995,Deep River Motel
98,Huarmey,PE,66.29,clear sky,-10.0681,-78.1522,Hotel Miramar
99,Bredasdorp,ZA,56.53,light rain,-34.5322,20.0403,Bredasdorp Country Manor
100,Wismar,DE,50.4,scattered clouds,53.9,11.4667,Townhouse Wismar a Vagabond Club
102,Matagami,CA,41.11,clear sky,49.7502,-77.6328,Motel Le Caribou
104,Vestmannaeyjar,IS,41.54,broken clouds,63.4427,-20.2734,Glamping & Camping
106,Sao Felix Do Xingu,BR,72.72,broken clouds,-6.6447,-51.995,Rio Xingu Camping
107,Ekibastuz,KZ,44.56,light rain,51.6667,75.3667,
108,Verin,ES,60.57,scattered clouds,41.9415,-7.4381,Parador de Verín
110,Carnarvon,AU,64.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
111,Lagoa,PT,60.3,few clouds,39.05,-27.9833,Casa Das Faias
115,Weyburn,CA,73.26,clear sky,49.6668,-103.8511,Perfect Inns & Suites
